data,A845,A859,A860,A841,A844,A815,A880
2008-01-31,16.2,,,41.2,1.2,,
2008-02-01,,,,2.2,2.4,,
2008-02-02,19.2,,,9.6,0.4,,
2008-02-03,1.2,,,1.0,1.8,,
2008-02-04,2.0,,,0.0,2.4,,
2008-02-05,0.4,,,0.0,0.0,,
2008-02-06,0.0,,,0.0,0.0,,
2008-02-07,0.4,,,0.0,0.0,,
2008-02-08,3.0,,,0.0,0.0,,
2008-02-09,1.0,,,0.0,0.0,,
2008-02-10,1.6,,,1.4,13.2,,
2008-02-11,18.8,,,1.6,15.8,,
2008-02-12,44.2,,,9.8,5.4,,
2008-02-13,5.8,,,0.0,0.2,,
2008-02-14,0.2,,,0.0,0.0,,
2008-02-15,0.4,,,0.0,0.0,,
2008-02-16,1.0,,,0.8,0.0,,
2008-02-17,12.4,,,8.8,0.0,,
2008-02-18,3.2,,,10.0,0.0,,
2008-02-19,0.6,,,0.0,0.0,,
2008-02-20,0.4,,,8.2,0.0,,
2008-02-21,14.8,,,2.8,0.4,,
2008-02-22,0.8,,,0.0,0.0,,
2008-02-23,1.4,,,0.0,0.0,,
2008-02-24,8.6,,,3.8,0.0,,
2008-02-25,3.6,,,0.0,0.0,,
2008-02-26,24.6,,,0.0,0.0,,
2008-02-27,14.2,,,0.0,0.0,,
2008-02-28,9.4,,,0.8,0.0,,
2008-02-29,4.6,,,10.6,24.0,,
2008-03-01,46.6,,14.6,20.0,12.0,,
2008-03-02,7.8,,0.6,18.6,13.2,,
2008-03-03,1.0,,28.6,6.4,26.8,,
2008-03-04,9.0,,2.6,0.0,11.8,,
2008-03-05,0.0,,0.0,0.0,0.8,,
2008-03-06,0.2,,0.0,0.0,0.0,,
2008-03-07,0.2,,0.0,0.0,0.0,,
2008-03-08,1.6,,0.0,0.0,0.0,,
2008-03-09,7.2,,0.0,0.0,0.0,,
2008-03-10,0.0,,0.0,0.0,0.0,,
2008-03-11,0.2,,5.8,8.0,0.0,,
2008-03-12,61.8,,0.8,1.2,0.0,,
2008-03-13,20.8,,14.0,1.0,13.6,,
2008-03-14,14.0,,0.0,0.0,0.0,,
2008-03-15,5.4,,0.0,0.0,0.0,,
2008-03-16,7.0,,0.0,0.0,0.0,,
2008-03-17,7.6,,0.0,0.0,0.2,,
2008-03-18,6.6,,0.0,0.0,0.0,,
2008-03-19,8.2,,0.0,0.0,2.8,,
2008-03-20,1.2,,0.0,2.4,2.6,,
2008-03-21,23.0,,35.0,1.2,11.6,,
2008-03-22,1.4,,1.0,9.2,0.0,,
2008-03-23,,,19.6,6.2,0.0,,
2008-03-24,,,13.0,0.0,0.0,,
2008-03-25,,,0.2,0.4,0.0,,
2008-03-26,,,0.0,0.0,0.0,,
2008-03-27,,,0.0,0.0,1.0,,
2008-03-28,,,0.0,0.0,9.8,,
2008-03-29,,,1.0,0.2,2.0,,
2008-03-30,,,0.0,0.0,0.0,,
2008-03-31,,,0.0,0.0,0.0,,
2008-04-01,,1.2,3.4,0.6,0.6,,
2008-04-02,,2.8,1.0,1.8,0.6,,
2008-04-03,,2.4,17.8,0.8,0.0,,
2008-04-04,,0.0,0.0,0.0,0.0,,
2008-04-05,,0.0,0.0,0.0,0.0,,
2008-04-06,,0.0,0.0,0.0,0.0,,
2008-04-07,,0.0,0.0,0.0,0.0,,
2008-04-08,,0.0,0.0,0.0,0.0,,
2008-04-09,,0.0,0.0,0.0,0.0,,
2008-04-10,,0.0,0.0,0.0,0.0,,
2008-04-11,,0.6,5.2,0.6,12.4,,
2008-04-12,1.2,41.6,31.6,49.6,10.6,,
2008-04-13,0.2,7.4,1.4,4.0,6.2,,
2008-04-14,20.6,,44.8,,34.4,31.4,
2008-04-15,0.4,0.6,0.0,0.2,0.0,0.2,
2008-04-16,10.0,2.8,15.4,3.8,1.8,4.2,
2008-04-17,13.2,6.0,3.4,5.8,1.8,5.2,
2008-04-18,0.4,3.8,3.2,6.8,0.0,0.2,
2008-04-19,0.2,0.0,0.0,0.0,0.0,0.0,
2008-04-20,7.6,19.8,15.8,8.6,0.0,12.2,
2008-04-21,51.2,5.8,5.2,4.4,0.8,18.4,
2008-04-22,2.8,0.2,0.0,1.8,4.0,3.2,
2008-04-23,0.0,0.2,0.0,0.2,2.6,0.0,
2008-04-24,0.0,0.0,0.0,0.2,0.0,0.2,
2008-04-25,0.0,0.2,0.0,0.2,0.0,0.0,
2008-04-26,0.0,0.2,0.0,0.2,0.0,0.0,
2008-04-27,0.2,8.6,0.8,9.2,4.4,1.2,
2008-04-28,35.2,0.2,1.8,0.0,43.8,15.0,
2008-04-29,49.8,32.0,45.2,47.8,46.6,,
2008-04-30,2.6,6.4,5.8,5.0,1.0,4.6,
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.2,0.0
2008-05-02,28.6,17.4,11.2,9.0,9.2,11.4,9.4
2008-05-03,39.4,7.2,7.4,2.8,51.8,40.8,16.0
2008-05-04,,1.8,1.0,1.0,0.8,23.2,5.0
2008-05-05,2.8,3.2,9.2,4.2,2.0,3.2,2.2
2008-05-06,0.0,3.6,0.0,4.8,1.6,0.6,0.2
2008-05-07,0.0,0.2,0.2,0.2,0.0,0.0,0.0
2008-05-08,0.0,0.2,0.0,0.2,0.0,0.0,0.0
2008-05-09,0.2,0.0,0.2,0.4,0.0,0.4,0.0
2008-05-10,0.0,2.6,0.0,0.0,0.0,0.0,0.0
2008-05-11,0.6,0.0,0.0,0.0,0.0,0.2,0.0
2008-05-12,0.4,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-13,1.8,0.0,0.0,0.0,0.0,0.2,0.0
2008-05-14,0.0,0.0,0.0,0.6,1.8,0.2,0.0
2008-05-15,0.0,0.2,0.0,0.2,0.0,0.0,0.0
2008-05-16,0.0,0.2,0.2,0.2,0.0,0.0,0.2
2008-05-17,0.2,0.4,0.2,0.2,0.0,0.0,0.0
2008-05-18,0.0,0.0,0.0,0.0,0.0,0.2,0.0
2008-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-20,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2008-05-21,,,,,,,0.0
2008-05-22,0.0,0.0,0.0,0.0,0.0,0.2,0.0
